req_id,module,test_id,status
SYS-001,fcs/scheduler,RtJitterTest.TickPeriodWithinBudget,planned
SYS-002,fcs/fsm,FsmTest.NoValidImuEntersTermination,planned
CTRL-001,fcs/control,PidTest.AttitudeStepResponse,planned
CTRL-002,fcs/mixer,MixerTest.OutputsClampedToUnitRange,planned
EST-001,fcs/estimator,EstimatorTest.AttitudeRmsUnderNoise,planned
FSM-001,fcs/fsm,FsmTest.RejectArmWithoutGpsFix,planned
FSM-002,fcs/fsm,integration/gps_loss_rtl.yaml,planned
FSM-003,fcs/fsm,integration/battery_emergency.yaml,planned
FSM-004,fcs/fsm,FsmTest.TransitionTableExhaustive,planned
FSM-005,fcs/fsm,FsmTest.RejectArmWhenEscHot,planned
SNS-001,fcs/voter,VoterTest.ExcludesFaultyImuChannel,planned
SNS-002,fcs/voter,VoterTest.GpsDisagreementRaisesFlag,planned
SNS-003,fcs/estimator,EstimatorTest.ConvergesWithBusLatency,planned
DSP-001,fcs/dsp,NotchTest.RotorLineAttenuatedAcrossRpm,planned
DSP-002,fcs/dsp,FilterTest.GroupDelayWithinBudget,planned
DSP-003,sim/adc,test_adc.py::test_aliasing_with_and_without_filter,planned
PWR-001,sim/battery,test_battery.py::test_discharge_curve_tracks_reference,planned
PWR-002,sim/propulsion,test_propulsion.py::test_current_vs_torque,planned
PWR-003,fcs/power,SocEkfTest.WithinFivePercentOfTruth,planned
PWR-004,fcs/power,integration/thermal_derate.yaml,planned
PWR-005,tools/power_report,test_power_report.py::test_energy_matches_integral,planned
LOG-001,fcs/logger,LoggerTest.EveryTickAppendsRecord,planned
LOG-002,tools/logreplay,test_logreplay.py::test_decode_roundtrip,planned
RT-001,fcs/scheduler,RtJitterTest.P99JitterUnderOneMs,planned
RT-002,fcs/scheduler,integration/renode_gps_loss.yaml,planned
HW-001,hardware/afe,test_spice.py::test_afe_corner_frequency,planned
HW-002,hardware/power_tree,test_spice.py::test_bus_ripple_under_step_load,planned
HW-003,docs/hardware,test_model_params_traced.py::test_all_params_documented,planned
